중국의	중국/NNP + 의/JKG
15일	15/SN + 일/NNB
오전	오전/NNG
서울	서울/NNP
서초구	서초구/NNP
서초동	서초동/NNP
삼성그룹	삼성그룹/NNP
본사	본사/NNG
앞에서	앞/NNG + 에서/JKB
개최한	개최하/VV + ㄴ/ETM
매각반대	매각/NNG + 반대/NNG
상경투쟁	상경/NNG + 투쟁/NNG
집회에서	집회/NNG + 에서/JKB
삼성테크윈의	삼성테크윈/NNP + 의/JKG
한화그룹으로의	한화그룹/NNP + 으로/JKB + 의/JKG
매각에	매각/NNG + 에/JKB
반대하는	반대하/VV + 는/ETM
서한을	서한/NNG + 을/JKO
전달하기	전달하/VV + 기/ETN
위해	위하/VV +  아/EC
본사	본사/NNG
건물로	건물/NNG + 로/JKB
향하다	향하/VV + 다/EF
경찰	경찰/NNG
등에	등/NNB + 에/JKB
저지당하고	저지/NNG + 당하/XSV + 고/EC
있다	있/VX + 다/EF
.	./SF
2015	2015/SN
.	./SF
1	1/SN
.	./SF
15	15/SN
seephoto	seephoto/SL
@	@/SW
yna	yna/SL
.	./SF
co	co/SL
.	./SF
kr	kr/SL
'	'/SS
빅딜	빅딜/NNG
반대	반대/NNG
'	'/SS
삼성토탈	삼성/NNP + 토탈/NNG
노조	노조/NNG
대규모	대/XPN + 규모/NNG
집회	집회/NNG
(	(/SS
서울	서울/NNP
=	=/SW
연합뉴스	연합뉴스/NNP
)	)/SS
성혜미	성혜미/NNP
기자	기자/NNG
=	=/SW
한화그룹으로의	한화그룹/NNP + 으로/JKB + 의/JKG
매각반대	매각/NNG + 반대/NNG
연대투쟁에	연대/NNG + 투쟁/NNG + 에/JKB
나선	나선/NNG
삼성토탈	삼성/NNP + 토탈/NNG
·	·/SP
삼성종합화학	삼성종합화학/NNP
·	·/SP
삼성테크윈	삼성테크윈/NNP
·	·/SP
삼성탈레스	삼성/NNP + 탈레스/NNP
등	등/NNG
4개사	4/SN + 개/NNB + 사/NNG
근로자들이	근로자/NNG + 들/XSN + 이/JKS
15일	15/SN + 일/NNB
정오부터	정오/NNG + 부터/JX
각사	각사/NNG
공장	공장/NNG
앞에서	앞/NNG + 에서/JKB
동시다발	동시/NNG + 다발/NNG
집회를	집회/NNG + 를/JKO
개최했다	개최하/VV + 았/EP + 다/EF
.	./SF
삼성토탈	삼성/NNP + 토탈/NNG
노조원	노조원/NNG
650여	650/SN + 여/XSN
명이	명/NNG + 이/JKS
충남	충남/NNP
대산공장	대산/NNP + 공장/NNG
앞에서	앞/NNG + 에서/JKB
집회하고	집회하/VV + 고/EC
있다	있/VX + 다/EF
.	./SF
2015	2015/SN
.	./SF
1	1/SN
.	./SF
15	15/SN
<	</SW
<	</SW
삼성토탈	삼성/NNP + 토탈/NNG
노조	노조/NNG
제공	제공/NNG
>	>/SW
>	>/SW
noanoa	noanoa/SL
@	@/SW
yna	yna/SL
.	./SF
co	co/SL
.	./SF
kr이날	kr/SL + 이날/NNG
오후	오후/NNG
12시부터	12/SN + 시/NNB + 부터/JX
1시간	1/SN + 시간/NNB
동안	동안/NNG
삼성토탈	삼성/NNP + 토탈/NNG
노조원	노조원/NNG
650명은	650/SN + 명/NNB + 은/JX
충남	충남/NNP
대산공장에서	대산/NNP + 공장/NNG + 에서/JKB
,	,/SP
최근	최근/NNG
노조를	노조/NNG + 를/JKO
설립한	설립하/VV + ㄴ/ETM
삼성종합화학	삼성종합화학/NNP
또한	또/MAG + 하/VV + ㄴ/ETM
울산	울산/NNP
·	·/SP
대산	대산/NNP
공장에서	공장/NNG + 에서/JKB
각각	각각/MAG
집회를	집회/NNG + 를/JKO
열었다	열/VV + 었/EP + 다/EF
.	./SF
같은	같/VA + 은/ETM
시각	시각/NNG
금속노조	금속/NNG + 노조/NNG
삼성테크윈	삼성테크윈/NNP
지회	지회/NNG
소속	소속/NNG
근로자	근로자/NNG
80여명은	80/SN + 여/XSN + 명/NNB + 은/JX
'	'/SS
항의서한	항의서하/VV + ㄴ/ETM
'	'/SS
을	을/JKO
전달하겠다며	전달하/VV + 겠/EP + 다며/EC
삼성본사	삼성/NNP + 본사/NNG
진입을	진입/NNG + 을/JKO
시도하다	시도하/VV + 다/EF
경찰과	경찰/NNG + 과/JC
몸싸움을	몸싸움/NNG + 을/JKO
벌이기도	벌이/VV + 기/ETN + 도/JX
했다	하/XSV + 았/EP + 다/EF
.	./SF
윤종균	윤종균/NNP
금속노조	금속/NNG + 노조/NNG
삼성테크윈	삼성테크윈/NNP
지회장은	지회장/NNG + 은/JX
"	"/SS
평생	평생/NNG
몸바쳐온	몸/NNG + 바치/VV + 어/EC + 오/VX + ㄴ/ETM
회사를	회사/NNG + 를/JKO
일방적으로	일방/NNG + 적/XSN + 으로/JKB
팔아버린	팔/VV + 아/EC + 버리/VX + ㄴ/ETM
삼성그룹의	삼성그룹/NNP + 의/JKG
결정은	결정/NNG + 은/JX
원천	원천/NNG
무효	무효/NNG
"	"/SS
라고	라고/EC
주장했다	주장하/VV + 았/EP + 다/EF
.	./SF
삼성테크윈에는	삼성테크윈/NNP + 에/JKB + 는/JX
금속노조	금속/NNG + 노조/NNG
지회와	지회/NNG + 와/JC
기업노조인	기업/NNG + 노조/NNG + 이/VCP + ㄴ/ETM
삼성테크윈	삼성테크윈/NNP
노동조합이	노동조합/NNG + 이/JKS
'	'/SS
복수노조	복수/NNG + 노조/NNG
'	'/SS
로	로/JX
활동하고	활동하/VV + 고/EC
있어	있/VX + 어/EC
기업노조	기업/NNG + 노조/NNG
소속	소속/NNG
근로자들은	근로자/NNG + 들/XSN + 은/JX
이날	이날/NNG
정오부터	정오/NNG + 부터/JX
판교	판교/NNP
·	·/SP
창원	창원/NNP
사업장에서	사업장/NNG + 에서/JKB
집회를	집회/NNG + 를/JKO
열었다	열/VV + 었/EP + 다/EF
.	./SF
판교	판교/NNP
사업장에는	사업장/NNG + 에/JKB + 는/JX
삼성테크윈과	삼성테크윈/NNP + 과/JC
삼성탈레스	삼성/NNP + 탈레스/NNP
근로자가	근로자/NNG + 가/JKS
함께	함께/MAG
모여	모이/VV + 어/EC
1천명	1/SN + 천/NR + 명/NNB
정도가	정도/NNG + 가/JKS
집결했고	집결하/VV + 았/EP + 고/EC
,	,/SP
삼성탈레스	삼성/NNP + 탈레스/NNP
구미사업장에는	구미/NNP + 사업장/NNG + 에/JKB + 는/JX
700여명이	700/SN + 여/XSN + 명/NNB + 이/JKS
모였다	모이/VV + 었/EP + 다/EF
.	./SF
삼성탈레스	삼성/NNP + 탈레스/NNP
양철언	양철언/NNP
비상대책위원장은	비상/NNG + 대책/NNG + 위원장/NNG + 은/JX
"	"/SS
삼성이	삼성/NNP + 이/JKS
잘	잘/MAG
돼	되/VV + 어/EC
좋은	좋/VA + 은/ETM
일자리를	일자리/NNG + 를/JKO
많이	많이/MAG
만들고	만들/VV + 고/EC
다	다/MAG
같이	같이/MAG
잘살기	잘살/VV + 기/ETN
바라는	바라/VV + 는/JX
마음을	마음/NNG + 을/JKO
밑바탕에	밑바탕/NNG + 에/JKB
깔고	깔/VV + 고/EC
매각반대	매각/NNG + 반대/NNG
투쟁에	투쟁/NNG + 에/JKB
나선	나선/NNG
것임을	것/NNB + 임/NNP + 을/JKO
분명히	분명히/MAG
밝히고	밝히/VV + 고/EC
싶다	싶/VX + 다/EF
"	"/SS
고	고/JKQ
말했다	말하/VV + 았/EP + 다/EF
.	./SF
일선	일선/NNG
경찰서에	경찰서/NNG + 에/JKB
'	'/SS
아동학대	아동/NNG + 학대/NNG
전담팀	전담/NNG + 팀/NNG
'	'/SS
구성	구성/NNG
…	…/SE
지자체와	지자체/NNG + 와/JC
합동조사	합동/NNG + 조사/NNG
(	(/SS
서울	서울/NNP
=	=/SW
연합뉴스	연합뉴스/NNP
)	)/SS
구정모	구정/NNG + 모으/VV
기자	기자/NNG
=	=/SW
경찰청은	경찰청/NNG + 은/JX
일선	일선/NNG
경찰서	경찰서/NNG
여성청소년과에	여성/NNG + 청소년/NNG + 과/JKB + 에/JKB
'	'/SS
아동학대	아동/NNG + 학대/NNG
전담팀	전담/NNG + 팀/NNG
'	'/SS
을	을/JKO
구성	구성/NNG
,	,/SP
지방자치단체와	지방/NNG + 자치/NNG + 단체/NNG + 와/JC
합동으로	합동/NNG + 으로/JKB
어린이집	어린이집/NNG
,	,/SP
유치원의	유치원/NNG + 의/JKG
아동학대	아동/NNG + 학대/NNG
피해실태를	피해/NNG + 실태/NNG + 를/JKO
조사하기로	조사하/VV + 기/ETN + 로/JKB
했다	하/XSV + 았/EP + 다/EF
.	./SF
경찰청은	경찰청/NNG + 은/JX
또	또/MAG
16일부터	16/SN + 일부/NNG + 트/VV + 어/EC
한달간	한/MM + 달/NNB + 간/NNG
'	'/SS
아동학대	아동/NNG + 학대/NNG
집중	집중/NNG
신고기간	신고/NNG + 기간/NNG
'	'/SS
으로	으/IC + 로/JKB
삼아	삼/VV + 아/EC
기존	기존/NNG
학교폭력	학교/NNG + 폭력/NNG
전용	전용/NNG
신고전화인	신고/NNG + 전화/NNG + 이/VCP + ㄴ/ETM
'	'/SS
117	117/SN
신고센터	신고/NNG + 센터/NNG
'	'/SS
로	로/JX
아동학대	아동/NNG + 학대/NNG
신고도	신고/NNG + 도/JX
받는다	받/VV + 는다/EF
.	./SF
이를	이르/VV + ㄹ/ETM
위해	위하/VV +  아/EC
집중	집중/NNG
신고기간	신고/NNG + 기간/NNG
전국	전국/NNG
주요	주요/NNG
도로의	도로/NNG + 의/JKG
전광판	전광판/NNG
,	,/SP
경찰서	경찰서/NNG
홈페이지	홈페이지/NNG
팝업창	팝업/NNG + 창/NNG
,	,/SP
안내	안내/NNG
리플릿	리플릿/NNG
등을	등/NNB + 을/JKO
통해	통하/VV + 아/EC
신고접수	신고/NNG + 접수/NNG
사실을	사실/NNG + 을/JKO
홍보하기로	홍보하/VV + 기/ETN + 로/JKB
했다	하/XSV + 았/EP + 다/EF
.	./SF
아울러	아울러/MAG
학교전담경찰관이	학교전/NNG + 담/EC + 경찰관/NNG + 이/JKS
어린이집	어린이집/NNG
,	,/SP
유치원	유치원/NNG
등	등/NNB
보육시설	보육/NNG + 시설/NNG
종사자	종사자/NNG
,	,/SP
학교	학교/NNG
·	·/SP
병원	병원/NNG
·	·/SP
복지시설	복지/NNG + 시설/NNG
등	등/NNB
아동학대	아동/NNG + 학대/NNG
신고의무자를	신고/NNG + 의무자/NNG + 를/JKO
대상으로	대상/NNG + 으로/JKB
아동학대	아동/NNG + 학대/NNG
예방교육을	예방/NNG + 교육/NNG + 을/JKO
실시할	실시하/VV + ㄹ/ETM
예정이다	예정/NNG + 이다/EF
.	./SF
경찰청	경찰청/NNG
관계자는	관계자/NNG + 는/JX
16일	16/SN + 일/NNB
"	"/SS
근본적인	근본/NNG + 적/XSN + 이/VCP + ㄴ/ETM
아동학대	아동/NNG + 학대/NNG
근절을	근절/NNG + 을/JKO
위해	위하/VV +  아/EC
보육시설	보육/NNG + 시설/NNG
내	나/NP + 의/JKG
CCTV	CCTV/SL
설치	설치/NNG
의무화	의무/NNG + 화/XSN
등	등/NNG
제도	제도/NNG
개선방안을	개선/NNG + 방안/NNG + 을/JKO
관계기관과	관계/NNG + 기관/NNG + 과/JC
협의하겠다	협의하/NNG + 겠/EP + 다/EF
"	"/SS
고	고/JKQ
말했다	말하/VV + 았/EP + 다/EF
.	./SF
앞서	앞서/VV
지난	지나/VV + ㄴ/ETM
8일	8/SN + 일/NNB
인천	인천/NNP
어린이집	어린이집/NNG
보육교사가	보육/NNG + 교사/NNG + 가/JKS
음식을	음식/NNG + 을/JKO
남겼다는	남기/VV + 었/EP + 다는/ETM
이유로	이유/NNG + 로/JKB
네	네/IC
살배기	살/VV + 배기/XSN
원생의	원생/NNG + 의/JKG
빰을	빰/IC + 을/JKO
강하게	강하/VA + 게/EC
때린	때리/VV + ㄴ/ETM
모습이	모습/NNG + 이/JKS
녹화된	녹화되/VV + ㄴ/ETM
CCTV	CCTV/SL
영상이	영상/NNG + 이/JKS
공개돼	공개되/VV + 어/EC
어린이집	어린이집/NNG
아동학대에	아동/NNG + 학대/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
사회적	사회/NNG + 적/NNB
공분이	공분/NNG + 이/JKS
일었다	일/NNG + 었/EP + 다/EF
.	./SF
